uuid,question_type,has_fl_proof?,fl_proof_compiles?,has_nl_proof?,has_soln_description?,soln_description,informal_statement,informal_proof,formal_statement,formal_proof,fl_proof_compilation_REPLerror
14baf8e4-a063-5b78-b4e2-aff63cedd9d3,proof,no,,no,yes,"Proof: (1) When $n=2$, it has been proven in the previous text;
(2) Assume that when $n=k(2 \leqslant k \in \mathrm{N})$, the inequality holds:
$$\sum_{i=1}^{k} \sqrt{a_{i}^{2}+1}<k-1+\sqrt{\left(\sum_{i=1}^{k} a_{i}\right)^{2}+1} \text {, }$$

Then, when $n=k+1$,
$$\begin{array}{l}
\sum_{i=1}^{k+1} \sqrt{a_{i}^{2}+1}=\sum_{i=1}^{k} \sqrt{a_{i}^{2}+1}+\sqrt{a_{k+1}^{2}+1} \\
<k-1+\sqrt{\left(\sum_{i=1}^{k} a_{i}\right)^{2}+1}+\sqrt{a_{k+1}^{2}+1} \\
<k-1+1+\sqrt{\left(\sum_{i=1}^{k} a_{i}+a_{k+1}\right)^{2}+1} \\
=(k+1)-1+\sqrt{\left(\sum_{i=1}^{k+1} a_{i}\right)^{2}+1}
\end{array}$$

This shows that when $n=k+1$, inequality (7) holds.
According to (1) and (2), the inequality (7) holds for all natural numbers $n$ not less than 2.","Question 7 If $a_{1}, a_{2}, \cdots, a_{n} \in \mathrm{R}^{+}, n>1$, then
$$\sum_{i=1}^{n} \sqrt{a_{i}^{2}+1}<n-1+\sqrt{\left(\sum_{i=1}^{n} a_{i}\right)^{2}+1}$$",,"import Mathlib

open Real

/- Question 7 If $a_{1}, a_{2}, \cdots, a_{n} \in \mathrm{R}^{+}, n>1$, then
$$\sum_{i=1}^{n} \sqrt{a_{i}^{2}+1}<n-1+\sqrt{\left(\sum_{i=1}^{n} a_{i}\right)^{2}+1}$$ -/
theorem inequalities_602447 {n : ℕ} (hn : n > 1) (a : Fin n → ℝ)
    (ha : ∀ i, 0 < a i) :
    ∑ i, sqrt (a i ^ 2 + 1) < n - 1 + sqrt ((∑ i, a i) ^ 2 + 1) := by",,
c278f480-a729-5af3-82f7-f2059fdfb719,MCQ,no,,no,yes,"[Solution] According to the scoring method given in the problem, the minimum score is -10 points (all ten questions answered incorrectly), and the maximum score is 40 points (all ten questions answered correctly). There are 51 possible scores from -10 to 40.

However, answering all ten questions correctly yields 40 points, and answering nine questions correctly yields a maximum of 36 points, so the scores of 39, 38, and 37 cannot be obtained;

When nine questions are answered correctly, only 36 points (nine correct, one blank) or 35 points (nine correct, one incorrect) can be obtained. Therefore, the scores of 34 and 33 cannot be obtained;

When eight questions are answered correctly, only 32 points (eight correct, two blanks), 31 points (eight correct, one incorrect, one blank), or 30 points (eight correct, two incorrect) can be obtained, and 29 points cannot be obtained.

It is easy to verify that all scores from -10 to 28 can be obtained. Therefore, the maximum number of possible scores for this test is $51-3-2-1=45$.
Thus, the answer is $(B)$.","$36 \cdot 71$ A certain math test consists of ten multiple-choice questions. The scoring method is: 4 points for each correct answer, -1 point for each wrong answer, and 0 points for not answering. Let the maximum number of possible scores for this test be $n$, then $n$ should be
(A) 42.
(B) 45.
(C) 46.
(D) 48.
(E) None of the above answers is correct.
(Beijing Junior High School Mathematics Competition, 1983)",,"import Mathlib

/- $36 \cdot 71$ A certain math test consists of ten multiple-choice questions. The scoring method is: 4 points for each correct answer, -1 point for each wrong answer, and 0 points for not answering. Let the maximum number of possible scores for this test be $n$, then $n$ should be
(A) 42.
(B) 45.
(C) 46.
(D) 48.
(E) None of the above answers is correct.
(Beijing Junior High School Mathematics Competition, 1983) -/
theorem algebra_212983 : {x : ℤ | ∃ n m p : ℕ, x = 4*n - m + 0*p ∧ n + m + p = 10}.encard = 45 := by",,
ddce75fc-a08d-5f49-a4da-3fc2713310e2,proof,no,,no,yes,"## Solution.

$$
\begin{aligned}
& \frac{\cos ^{2} \alpha}{\sin ^{2} \alpha}-\frac{\cos ^{2} \beta}{\sin ^{2} \beta}=\frac{\sin ^{2} \beta \cos ^{2} \alpha+\cos ^{2} \beta \sin ^{2} \alpha}{\sin ^{2} \alpha \sin ^{2} \beta}= \\
& =\frac{(\sin \beta \cos \alpha-\cos \beta \sin \alpha)(\sin \beta \cos \alpha+\cos \beta \sin \alpha)}{\sin ^{2} \alpha \sin ^{2} \beta}= \\
& =\frac{\sin (\beta-\alpha) \sin (\beta+\alpha)}{\sin ^{2} \alpha \sin ^{2} \beta}=\frac{\frac{1}{2}(\cos 2 \alpha-\cos 2 \beta)}{\sin ^{2} \alpha \sin ^{2} \beta}= \\
& =\frac{\frac{1}{2}\left(2 \cos ^{2} \alpha-1-2 \cos ^{2} \beta+1\right)}{\sin ^{2} \alpha \sin ^{2} \beta}=\frac{\cos ^{2} \alpha-\cos ^{2} \beta}{\sin ^{2} \alpha \sin ^{2} \beta}
\end{aligned}
$$

The identity is proven.",3.022. $\operatorname{ctg}^{2} \alpha-\operatorname{ctg}^{2} \beta=\frac{\cos ^{2} \alpha-\cos ^{2} \beta}{\sin ^{2} \alpha \sin ^{2} \beta}$.,,"import Mathlib

open Real Set
open scoped Real

/- 3.022. $\operatorname{ctg}^{2} \alpha-\operatorname{ctg}^{2} \beta=\frac{\cos ^{2} \alpha-\cos ^{2} \beta}{\sin ^{2} \alpha \sin ^{2} \beta}$. -/
theorem algebra_185341 (α β : ℝ) :
  1 / tan α ^ 2 - 1 / tan β ^ 2 = (cos α ^ 2 - cos β ^ 2) / (sin α ^ 2 * sin β ^ 2) := by",,
ac1c313d-cbf4-523d-a4ca-93adaf14f71f,proof,yes,yes,yes_generated,no,,"The real numbers $a, b, x$ satisfy the inequalities $| a + x + b | \le 1, | 4a + 2x + b | \le1, | 9a + 6x + 4b | \le 1$.
Prove that $| x | \le15$.","We are given that for real numbers $a, b, x$, the following inequalities hold:
1.  $|a + x + b| \le 1$
2.  $|4a + 2x + b| \le 1$
3.  $|9a + 6x + 4b| \le 1$

Our goal is to prove that $|x| \le 15$.

From the property that $|y| \le c$ is equivalent to $-c \le y \le c$, we can expand each of the given inequalities into a pair of linear inequalities:
- From (1), we have:
    - (1a) $-1 \le a + x + b$
    - (1b) $a + x + b \le 1$
- From (2), we have:
    - (2a) $-1 \le 4a + 2x + b$
    - (2b) $4a + 2x + b \le 1$
- From (3), we have:
    - (3a) $-1 \le 9a + 6x + 4b$
    - (3b) $9a + 6x + 4b \le 1$

We will now prove that $|x| \le 15$ by considering two cases based on the sign of $x$.

**Case 1: $x \ge 0$**
In this case, $|x| = x$. We want to show that $x \le 15$.
Let's consider the following linear combination of the expressions from our inequalities:
$3(9a + 6x + 4b) - 5(4a + 2x + b) - 7(a + x + b)$
Expanding this expression, we get:
$(27a + 18x + 12b) - (20a + 10x + 5b) - (7a + 7x + 7b)$
Combining the terms for $a$, $b$, and $x$:
- For $a$: $27a - 20a - 7a = 0$
- For $b$: $12b - 5b - 7b = 0$
- For $x$: $18x - 10x - 7x = x$
Thus, we have the identity:
$x = 3(9a + 6x + 4b) - 5(4a + 2x + b) - 7(a + x + b)$

Now, we can find an upper bound for $x$ using our inequalities. From (3b), $9a + 6x + 4b \le 1$. From (2a), $-(4a + 2x + b) \le 1$. From (1a), $-(a + x + b) \le 1$.
Therefore:
$x \le 3(1) - 5(-1) - 7(-1)$
$x \le 3 + 5 + 7$
$x \le 15$
Since $x \ge 0$, we have $|x| \le 15$.

**Case 2: $x < 0$**
In this case, $|x| = -x$. We want to show that $-x \le 15$.
Let's consider a different linear combination:
$7(a + x + b) + 5(4a + 2x + b) - 3(9a + 6x + 4b)$
Expanding this expression, we get:
$(7a + 7x + 7b) + (20a + 10x + 5b) - (27a + 18x + 12b)$
Combining the terms for $a$, $b$, and $x$:
- For $a$: $7a + 20a - 27a = 0$
- For $b$: $7b + 5b - 12b = 0$
- For $x$: $7x + 10x - 18x = -x$
Thus, we have the identity:
$-x = 7(a + x + b) + 5(4a + 2x + b) - 3(9a + 6x + 4b)$

Now, we can find an upper bound for $-x$. From (1b), $a + x + b \le 1$. From (2b), $4a + 2x + b \le 1$. From (3a), $-(9a + 6x + 4b) \le 1$.
Therefore:
$-x \le 7(1) + 5(1) - 3(-1)$
$-x \le 7 + 5 + 3$
$-x \le 15$
Since $x < 0$, we have $|x| = -x \le 15$.

In both cases, we have shown that $|x| \le 15$. This completes the proof.","import Mathlib

/- The real numbers $a, b, x$ satisfy the inequalities $| a + x + b | \le 1, | 4a + 2x + b | \le1, | 9a + 6x + 4b | \le 1$.
Prove that $| x | \le15$. -/
theorem inequalities_50648 (a b x : ℝ)
    (h₁ : abs (a + x + b) ≤ 1) (h₂ : abs (4 * a + 2 * x + b) ≤ 1) (h₃ : abs (9 * a + 6 * x + 4 * b) ≤ 1) :
    abs x ≤ 15 := by","import Mathlib

theorem inequalities_50648 (a b x : ℝ)
    (h₁ : abs (a + x + b) ≤ 1) (h₂ : abs (4 * a + 2 * x + b) ≤ 1) (h₃ : abs (9 * a + 6 * x + 4 * b) ≤ 1) :
    abs x ≤ 15 := by
  have h1a : -1 ≤ a + x + b := by linarith [abs_le.mp h₁]
  have h1b : a + x + b ≤ 1 := by linarith [abs_le.mp h₁]

  have h2a : -1 ≤ 4 * a + 2 * x + b := by linarith [abs_le.mp h₂]
  have h2b : 4 * a + 2 * x + b ≤ 1 := by linarith [abs_le.mp h₂]

  have h3a : -1 ≤ 9 * a + 6 * x + 4 * b := by linarith [abs_le.mp h₃]
  have h3b : 9 * a + 6 * x + 4 * b ≤ 1 := by linarith [abs_le.mp h₃]
  
  cases' abs_cases x with hx hx
  · -- x ≥ 0
    linarith
  · -- x < 0
    linarith",
a11473c8-45a6-5508-b5c6-92a4219ccbe8,proof,no,,no,yes,"We look at the identity in $\mathbb{Z} / 2021 \mathbb{Z}$: we have that $\bar{f}$ divides $\bar{g}$. Now $\bar{f}=\sum_{k=0}^{\operatorname{deg}(f)} X^{k}$ and $\bar{g}=\sum_{k=0}^{\operatorname{deg}(g)} X^{k}$. Consider the Euclidean division of $\operatorname{deg}(g)+1$ by $\operatorname{deg}(f)+1$: we have $\operatorname{deg}(g)+1=q(\operatorname{deg}(f)+1)+r$. We have

$$
\bar{g}=\bar{f} \sum_{k=0}^{q-1} X^{r+k(\operatorname{deg}(f)+1)}+\sum_{l=0}^{r-1} X^{l}
$$

Suppose $r \neq 0$. Then $\bar{f}$ divides $\sum_{l=0}^{r-1} X^{l}$, whose degree is $r-1<r \leq \operatorname{deg}(f)$. In particular, since $f$ is monic, this is impossible. Thus $r=0$, so $\operatorname{deg}(g)+1$ is divisible by $\operatorname{deg}(f)+1$","Let $g, f$ be two polynomials with integer coefficients such that $f$ divides $g$ and $f$ and $g$ have coefficients in $\{1,2022\}$. Show that $\operatorname{deg}(f)+1$ divides $\operatorname{deg}(g)+1$.",,"import Mathlib

/- Let $g, f$ be two polynomials with integer coefficients such that $f$ divides $g$ and $f$ and $g$ have coefficients in $\{1,2022\}$. Show that $\operatorname{deg}(f)+1$ divides $\operatorname{deg}(g)+1$. -/
theorem algebra_113229 {g f : Polynomial ℤ} (hf : f ∣ g) (hf1 : ∀ n, f.coeff n = 1 ∨ f.coeff n = 2022)
    (hg : ∀ n, g.coeff n = 1 ∨ g.coeff n = 2022) :
    (f.degree + 1) ∣ (g.degree + 1) := by",,
1bc4b8cb-3167-5e97-8661-dae251b43a0d,math-word-problem,no,,no,yes,"From $\frac{x-3}{x+3}>0$, we get the range of $x$ as
$(-\infty,-3) \cup(3,+\infty)$.
Since the domain of $f(x)$ is $(m, n)$, and $m>1$, $n>1$, it follows that $m>3$.
Also, $m-13$.
The range of $f(x)$ is
$$
\left(1+\log _{a}(n-1), 1+\log _{a}(m-1)\right) \text {, }
$$

Then $\log _{a} a(n-1)0, \\
g(3)=12 a>0, \\
-\frac{2 a-1}{2 a}>3 .
\end{array}\right.
$$

Solving this, we get $0<a<\frac{2-\sqrt{3}}{4}$.
Therefore, the range of $m$ is $(3,+\infty)$, and the range of $a$ is $\left(0, \frac{2-\sqrt{3}}{4}\right)$.","II. (30 points) Given the function
$$
f(x)=\log _{a} \frac{x-3}{x+3}(a>0 \text {, and } a \neq 1) \text {. }
$$

If there exist real numbers $m, n (m<n)$ and $a$, such that the domain of $f(x)$ is $(m, n)$, and the range is
$$
\left(1+\log _{a}(n-1), 1+\log _{a}(m-1)\right),
$$

find the ranges of $m$ and $a$ respectively.",,"import Mathlib

open Real Set
open scoped BigOperators

/- II. (30 points) Given the function
$$
f(x)=\log _{a} \frac{x-3}{x+3}(a>0 \text {, and } a \neq 1) \text {. }
$$

If there exist real numbers $m, n (m<n)$ and $a$, such that the domain of $f(x)$ is $(m, n)$, and the range is
$$
\left(1+\log _{a}(n-1), 1+\log _{a}(m-1)\right),
$$

find the ranges of $m$ and $a$ respectively. -/
theorem algebra_296747 {f : ℝ → ℝ} (hf : ∃ a, 0 < a ∧ a ≠ 1 ∧ f = λ x => logb a ((x - 3) / (x + 3)))
  (m n : ℝ) (hm : m < n) (ha : ∀ x ∈ Ioo m n, f x ∈ Ioo (1 + logb a (n - 1)) (1 + logb a (m - 1))) :
  3 < m ∧ a ∈ Ioo 0 ((2 - sqrt 3) / 4) := by",,
a4fe5143-86d7-5ac4-a732-0e2f955963b1,math-word-problem,no,,no,yes,"## Solution

Substitution:

$$
\begin{aligned}
& x=y+\pi \Rightarrow y=x-\pi \\
& x \rightarrow \pi \Rightarrow y \rightarrow 0
\end{aligned}
$$

We get:

$$
\begin{aligned}
& \lim _{x \rightarrow \pi} \frac{\ln (\cos 2 x)}{\ln (\cos 4 x)}=\lim _{y \rightarrow 0} \frac{\ln (\cos 2(y+\pi))}{\ln (\cos 4(y+\pi))}= \\
& =\lim _{y \rightarrow 0} \frac{\ln (\cos (2 y+2 \pi))}{\ln (\cos (4 y+4 \pi))}=\lim _{y \rightarrow 0} \frac{\ln (\cos 2 y)}{\ln (\cos 4 y)}= \\
& =\lim _{y \rightarrow 0} \frac{\ln \left(1-2 \sin ^{2} y\right)}{\ln \left(1-2 \sin ^{2} 2 y\right)}=
\end{aligned}
$$

Using the substitution of equivalent infinitesimals:

![](https://cdn.mathpix.com/cropped/2024_05_22_0cd048bfcc83fa1ff638g-09.jpg?height=109&width=1212&top_left_y=2122&top_left_x=164)

$\ln \left(1-2 \sin ^{2} 2 y\right) \sim-2 \sin ^{2} 2 y_{\text {, as }} y \rightarrow 0\left(-2 \sin ^{2} 2 y \rightarrow 0\right)$

We get:

$=\lim _{y \rightarrow 0} \frac{-2 \sin ^{2} y}{-2 \sin ^{2} 2 y}=\lim _{y \rightarrow 0} \frac{\sin ^{2} y}{\sin ^{2} 2 y}=$

Using the substitution of equivalent infinitesimals:

![](https://cdn.mathpix.com/cropped/2024_05_22_0cd048bfcc83fa1ff638g-10.jpg?height=78&width=461&top_left_y=178&top_left_x=152)

$\sin 2 y \sim 2 y_{\text {, as }} y \rightarrow 0(2 y \rightarrow 0)$

We get:

$=\lim _{y \rightarrow 0} \frac{y^{2}}{(2 y)^{2}}=\lim _{y \rightarrow 0} \frac{y^{2}}{4 y^{2}}=\lim _{y \rightarrow 0} \frac{1}{4}=\frac{1}{4}$

## Problem Kuznetsov Limits 14-25","## Problem Statement

Calculate the limit of the function:

$\lim _{x \rightarrow \pi} \frac{\ln (\cos 2 x)}{\ln (\cos 4 x)}$",,"import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators

/- ## Problem Statement

Calculate the limit of the function:

$\lim _{x \rightarrow \pi} \frac{\ln (\cos 2 x)}{\ln (\cos 4 x)}$ -/
theorem calculus_138342 :
  Tendsto (λ x => (Real.log (Real.cos (2 * x)) / Real.log (Real.cos (4 * x)))) (𝓝[≠] Real.pi) (𝓝 (1/4)) :=
",,
127d71d3-abc5-522c-81eb-d39cfd5c6d9b,proof,no,,no,yes,"Proof: Let $z_{k}=x_{k}+y_{k} \mathrm{i} (k=1,2,3,4)$, then the inequality (1) is equivalent to
$$
\begin{aligned}
& \left(x_{1}-x_{2}\right)^{2}+\left(x_{2}-x_{4}\right)^{2}+\left(y_{1}-y_{3}\right)^{2}+\left(y_{2}-y_{4}\right)^{2} \\
\leqslant & \left(x_{1}-x\right)^{2}+\left(x_{2}-x_{3}\right)^{2}+\left(x_{3}-x_{4}\right)^{2}+\left(x_{4}-x_{1}\right)^{2}+ \\
& \left(y_{1}-y_{2}\right)^{2}+\left(y_{2}-y_{3}\right)^{2}+\left(y_{3}-y_{4}\right)^{2}+\left(y_{4}-y_{1}\right)^{2} \\
\Leftrightarrow & 2\left(x_{1} x_{2}+x_{2} x_{3}+x_{3} x_{4}+x_{4} x_{1}\right)+2\left(y_{1} y_{2}+y_{2} y_{3}+\right. \\
& \left.y_{3} y_{4}+y_{4} y_{1}\right) \\
\leqslant & \left(x_{1}+x_{3}\right)^{2}+\left(x_{2}+x_{4}\right)^{2}+\left(y_{1}+y_{3}\right)^{2}+\left(y_{2}+y_{4}\right)^{2} \\
\Leftrightarrow & 2\left(x_{1}+x_{3}\right)\left(x_{2}+x_{4}\right)+2\left(y_{1}+y_{3}\right)\left(y_{2}+y_{4}\right) \\
\leqslant & \left(x_{1}+x_{3}\right)^{2}+\left(x_{2}+x_{4}\right)^{2}+\left(y_{1}+y_{3}\right)^{2}+\left(y_{2}+y_{4}\right)^{2} \\
\Leftrightarrow & \left(x_{1}+x_{3}-x_{2}-x_{4}\right)^{2}+\left(y_{1}+y_{3}-y_{2}-y_{4}\right)^{2} \geqslant 0 .
\end{aligned}
$$

This is obviously true, hence (1) is proved; equality holds if and only if
$$
\left\{\begin{array}{l}
x_{1}+x_{3}-x_{2}-x_{4}=0 \\
y_{1}+y_{3}-y_{2}-y_{4}=0
\end{array} \Leftrightarrow z_{1}+z_{3}=z_{2}+z_{4}\right.
$$","Example 1 Let $z_{1}, z_{2}, z_{3}, z_{4} \in \mathrm{C}$, prove:
$$
\begin{aligned}
\left|z_{1}-z_{3}\right|^{2}+\left|z_{2}-z_{4}\right|^{2} & \leqslant\left|z_{1}-z_{2}\right|^{2}+\left|z_{2}-z_{3}\right|^{2} \\
& +\left|z_{3}-z_{4}\right|^{2}+\left|z_{4}-z_{1}\right|^{2} ;
\end{aligned}
$$

Equality holds if and only if $z_{1}+z_{3}=z_{2}+z_{4}$.",,"import Mathlib

open Topology Filter Real Complex TopologicalSpace Finset
open scoped BigOperators

/- Example 1 Let $z_{1}, z_{2}, z_{3}, z_{4} \in \mathrm{C}$, prove:
$$
\begin{aligned}
\left|z_{1}-z_{3}\right|^{2}+\left|z_{2}-z_{4}\right|^{2} & \leqslant\left|z_{1}-z_{2}\right|^{2}+\left|z_{2}-z_{3}\right|^{2} \\
& +\left|z_{3}-z_{4}\right|^{2}+\left|z_{4}-z_{1}\right|^{2} ;
\end{aligned}
$$

Equality holds if and only if $z_{1}+z_{3}=z_{2}+z_{4}$. -/
theorem inequalities_181431 (z : Fin 4 → ℂ) :
  ‖z 0 - z 2‖^2 + ‖z 1 - z 3‖^2 ≤
  ‖z 0 - z 1‖^2 + ‖z 1 - z 2‖^2 +
  ‖z 2 - z 3‖^2 + ‖z 3 - z 0‖^2 ∧
  (‖z 0 - z 2‖^2 + ‖z 1 - z 3‖^2 =
  ‖z 0 - z 1‖^2 + ‖z 1 - z 2‖^2 +
  ‖z 2 - z 3‖^2 + ‖z 3 - z 0‖^2 ↔ z 0 + z 2 = z 1 + z 3) :=
",,
1f782fd8-3904-58f7-9f6a-af96748421a5,math-word-problem,yes,yes,yes_generated,no,,"Find the inverse of the matrix
\[\begin{pmatrix} 5 & -4 \\ 0 & 1 \end{pmatrix}.\]If the inverse does not exist, then enter the zero matrix.","Let the matrix \(A\) be given by
\[ A = \begin{pmatrix} 5 & -4 \\ 0 & 1 \end{pmatrix}. \]
We want to show that there exists a matrix \(B\) such that \(A \cdot B\) is the 2x2 identity matrix, \(I\).

Let us propose the following matrix for \(B\):
\[ B = \begin{pmatrix} 1/5 & 4/5 \\ 0 & 1 \end{pmatrix}. \]
To verify that \(B\) is the right inverse of \(A\), we compute the product \(A \cdot B\):
\[ A \cdot B = \begin{pmatrix} 5 & -4 \\ 0 & 1 \end{pmatrix} \begin{pmatrix} 1/5 & 4/5 \\ 0 & 1 \end{pmatrix}. \]
We calculate each entry of the product matrix:
\begin{itemize}
    \item The entry in the first row, first column is:
    \[ (5 \cdot \frac{1}{5}) + (-4 \cdot 0) = 1 + 0 = 1. \]
    \item The entry in the first row, second column is:
    \[ (5 \cdot \frac{4}{5}) + (-4 \cdot 1) = 4 - 4 = 0. \]
    \item The entry in the second row, first column is:
    \[ (0 \cdot \frac{1}{5}) + (1 \cdot 0) = 0 + 0 = 0. \]
    \item The entry in the second row, second column is:
    \[ (0 \cdot \frac{4}{5}) + (1 \cdot 1) = 0 + 1 = 1. \]
\end{itemize}
Thus, the resulting product is:
\[ A \cdot B = \begin{pmatrix} 1 & 0 \\ 0 & 1 \end{pmatrix}, \]
which is the 2x2 identity matrix. Since we have found a matrix \(B\) such that \(A \cdot B = I\), the existence of such a matrix is proven.","import Mathlib

open Matrix

/- Find the inverse of the matrix
\[\begin{pmatrix} 5 & -4 \\ 0 & 1 \end{pmatrix}.\]If the inverse does not exist, then enter the zero matrix. -/
theorem calculus_22028 {A : Matrix (Fin 2) (Fin 2) ℝ}
    (hA : A = !![5, -4; 0, 1]) :
    ∃ B, A * B = 1 := by","import Mathlib

open Matrix

theorem calculus_22028 {A : Matrix (Fin 2) (Fin 2) ℝ}
    (hA : A = !![5, -4; 0, 1]) :
    ∃ B, A * B = 1 := by

  use !![(1 / 5 : ℝ), (4 / 5 : ℝ); (0 : ℝ), (1 : ℝ)]
  rw [hA]

  simp [Matrix.mul_apply, Matrix.one_fin_two]
  all_goals norm_num
  <;> norm_num",
6a5a8655-86ca-51ea-a043-474e9cc79145,math-word-problem,yes,yes,yes_generated,no,,"If ${{1023}^{2}}-2046\times 23+{{23}^{2}}=k+{{999}^{2}}-1$, then the value of $k$ is ___          ___ .","We are given the following equation relating the real number `k` to a set of constants:
$$1023^2 - 2046 \times 23 + 23^2 = k + 999^2 - 1$$
Our objective is to determine the value of `k`. We will achieve this by simplifying the expression on the left-hand side of the equation.

First, let us examine the left-hand side: `1023^2 - 2046 \times 23 + 23^2`.
We can observe that the term `2046` is equal to `2 \times 1023`. By substituting this into the expression, we get:
$$1023^2 - (2 \times 1023) \times 23 + 23^2$$
This expression matches the algebraic identity for a perfect square, which is `a^2 - 2ab + b^2 = (a - b)^2`, where `a = 1023` and `b = 23`. Applying this identity, the left-hand side simplifies to:
$$(1023 - 23)^2 = 1000^2$$
The value of $1000^2$ is $1,000,000$.

Now we can substitute this simplified value back into the original equation:
$$1000^2 = k + 999^2 - 1$$
To solve for `k`, we can rearrange the equation to isolate `k`:
$$k = 1000^2 - 999^2 + 1$$
The term `1000^2 - 999^2` is a difference of squares, which can be factored using the identity `a^2 - b^2 = (a - b)(a + b)`. Here, `a = 1000` and `b = 999`. Applying this identity gives:
$$1000^2 - 999^2 = (1000 - 999)(1000 + 999) = (1)(1999) = 1999$$
Substituting this result into our equation for `k`:
$$k = 1999 + 1$$
$$k = 2000$$
Therefore, the value of `k` is 2000.","import Mathlib

/- If ${{1023}^{2}}-2046\times 23+{{23}^{2}}=k+{{999}^{2}}-1$, then the value of $k$ is ___          ___ . -/
theorem algebra_28 {k : ℝ} (h : 1023^2 - 2046 * 23 + 23^2 = k + 999^2 - 1) : k = 2000 := by","import Mathlib

theorem algebra_28 {k : ℝ} (h : 1023^2 - 2046 * 23 + 23^2 = k + 999^2 - 1) : k = 2000 := by
  nlinarith",
