uuid,question_type,has_fl_proof?,fl_proof_compiles?,has_nl_proof?,has_soln_description?,soln_description,informal_statement,informal_proof,formal_statement,formal_proof,fl_proof_compilation_REPLerror
915754ae-a752-5422-890b-0e8b75c85e03,proof,no,,no,yes,"Proof: Let the plane containing $\triangle E F G$ be $\pi$. Without loss of generality, assume the distance from point $B$ to $\pi$ is small. Then, when $B$ does not coincide with $E$, $G^{\prime}$ lies on $A D$. Thus, we have:
$$
E F\left\|B F^{\prime}, E G\right\| B G^{\prime}, F G \| F^{\prime} G^{\prime} \text {. }
$$

Therefore, $\triangle E F G \operatorname{Sos} \triangle B F^{\prime} G^{\prime}$. Clearly, $S \triangle E F G < S \triangle B^{\prime}{ }^{\prime}{ }^{\prime}$:
$$
p \triangle K_{F G} \backslash P \triangle E_{F}{ }^{\prime} G^{\prime} .
$$

Thus, we only need to prove that $\triangle B F^{\prime} G^{\prime}$ satisfies i) and ii). For this, consider the line $F^{\prime} D$. Let the distances from $A, G^{\prime}$, and $D$ to $B F^{\prime}$ be $d_{1}, d_{2}$, and $d_{3}$, respectively. By Lemma 1, we know:
$$
d_{2} \leqslant \max \left\{d_{1}, d_{3}\right\} .
$$
$$
\leqslant \operatorname{mar}\left\{S \triangle A_{D C}, S \triangle E^{\prime} D\right\} \text {. }
$$

Similarly, we can prove:
$$
S \triangle B^{\prime} D_{D} \leqslant \max \{S \triangle A B D, S \triangle B C D\} .
$$

Thus,
$S_{\triangle B F^{\prime} A} \leqslant \operatorname{mad}\{\triangle A B C, S \triangle A B D$,
$S \triangle \triangle C D, S=B C D\}$,
the problem is proved.
Using Lemma 2, we easily get:
$$
\begin{array}{l}
p \Delta B \mathbf{Y}^{\prime}{ }_{G} \leqslant \max \left\{p \Delta A B F{ }_{F}^{\prime}, p \Delta B D F^{\prime}\right\} \\
\leqslant \max \{p \triangle \Delta B C, p \triangle \Delta B D, \\
p \triangle B C D\} \text {. } \\
\end{array}
$$

Thus, $p \Delta B F^{\prime} G^{\prime} \leqslant \max \{p \Delta \triangle B C, p \triangle A B D$, $p \triangle \triangle C D, p \triangle B C D\}$.
Therefore, ii) holds.","6. Given tetrahedron $ABCD$, points $E, F, G$ are on edges $AB, AC, AD$ respectively. Denote the area of $\triangle XYZ$ as $S_{\triangle XYZ}$ and the perimeter as $p_{\triangle XYZ}$. Prove:
i) $S_{\triangle EFG} \leqslant \max \left\{S_{\triangle ABC}, S_{\triangle ABD}, S_{\triangle ACD}, S_{\triangle BCD}\right\}$,
ii) $p_{\triangle EFG} \leqslant \max \{p_{\triangle ABC}, p_{\triangle ABD}, p_{\triangle ACD}, p_{\triangle BCD}\}$.
Before the proof, we first provide two lemmas.
Lemma 1: Given two lines $l, m$ in space, and points $P, Q, R$ are three consecutive points on $l$, with their distances to $m$ being $d_{1}$, $d_{2}$, $d_{3}$ respectively. Then $d_{2} \leq \max \left\{d_{1}, d_{3}\right\}$.
Proof is omitted.
Lemma 2: Given two lines $l, m$ and two points $M$, $N$ on $l$. Let $P, Q, R$ be three consecutive points on $m$, then $Q M + Q N \leqslant \max \{P M + P N, R M + R N\}$.

Lemma 2 can be simplified by rotating point $N$ around line $m$ into the plane $MPQ$, with $N$ and $M$ on opposite sides of line $m$. The proof is omitted.",,"import Mathlib

open Real
open scoped BigOperators

/- 6. Given tetrahedron $ABCD$, points $E, F, G$ are on edges $AB, AC, AD$ respectively. Denote the area of $\triangle XYZ$ as $S_{\triangle XYZ}$ and the perimeter as $p_{\triangle XYZ}$. Prove:
i) $S_{\triangle EFG} \leqslant \max \left\{S_{\triangle ABC}, S_{\triangle ABD}, S_{\triangle ACD}, S_{\triangle BCD}\right\}$,
ii) $p_{\triangle EFG} \leqslant \max \{p_{\triangle ABC}, p_{\triangle ABD}, p_{\triangle ACD}, p_{\triangle BCD}\}$.
Before the proof, we first provide two lemmas.
Lemma 1: Given two lines $l, m$ in space, and points $P, Q, R$ are three consecutive points on $l$, with their distances to $m$ being $d_{1}$, $d_{2}$, $d_{3}$ respectively. Then $d_{2} \leq \max \left\{d_{1}, d_{3}\right\}$.
Proof is omitted.
Lemma 2: Given two lines $l, m$ and two points $M$, $N$ on $l$. Let $P, Q, R$ be three consecutive points on $m$, then $Q M + Q N \leqslant \max \{P M + P N, R M + R N\}$.

Lemma 2 can be simplified by rotating point $N$ around line $m$ into the plane $MPQ$, with $N$ and $M$ on opposite sides of line $m$. The proof is omitted. -/
theorem inequalities_309304
  (A B C D E F G : EuclideanSpace ℝ (Fin 3))
  (h₀ : E ∈ segment ℝ A B)
  (h₁ : F ∈ segment ℝ A C)
  (h₂ : G ∈ segment ℝ A D)
  (h₃ : SABC = (MeasureTheory.volume (convexHull ℝ {A, B, C})).toReal)
  (h₄ : SABD = (MeasureTheory.volume (convexHull ℝ {A, B, D})).toReal)
  (h₅ : SACD = (MeasureTheory.volume (convexHull ℝ {A, C, D})).toReal)
  (h₆ : SBCD = (MeasureTheory.volume (convexHull ℝ {B, C, D})).toReal)
  (h₇ : pABC = dist A B + dist B C + dist A C)
  (h₈ : pABD = dist A B + dist B D + dist A D)
  (h₉ : pACD = dist A C + dist C D + dist A D)
  (h₁₀ : pBCD = dist B C + dist C D + dist B D) :
  (MeasureTheory.volume (convexHull ℝ {E, F, G})).toReal ≤
  max (max SABC (max SABD SACD)) (SBCD) ∧
  dist E F + dist F G + dist E G ≤
  max (max pABC (max pABD pACD)) (pBCD) :=
",,
a737e32b-c89d-5ad9-8e76-e5c2f516be4f,math-word-problem,no,,no,yes,"Let's prove, when $n \geqslant 2$, we have
$$
a_{n}=4 m+3, m \in \mathbf{N} \text {. }
$$

Using mathematical induction:
(i) When $n=2$, $a_{2}=3^{3}=4 \times 6+3$, so equation (1) holds.
(ii) Assume when $n=k(k \geqslant 2)$, equation (1) holds, i.e.,
$$
a_{k}=4 m+3, m \in \mathbf{N} \text {. }
$$

Then $a_{k+1}=3^{a_{k}}=3^{4 m+3}=(4-1)^{4 m+3}$
$$
\begin{aligned}
= & \mathrm{C}_{4 m+3}^{0} \cdot 4^{4 m+3}(-1)^{0}+\mathrm{C}_{4 m+3}^{1} 4^{4 m+2}(-1)^{1} \\
& +\cdots+\mathrm{C}_{4 m+3}^{4 m+2} 4^{1}(-1)^{4 m+2} \\
& +\mathrm{C}_{4 m+3}^{4 m+3} 4^{0}(-1)^{4 m+3} \\
= & 4 t-1=4(t-1)+3 .
\end{aligned}
$$

Here, $t=\mathrm{C}_{4 m+3}^{0} 4^{4 m+2}+\mathrm{C}_{4 m+3}^{1} 4^{4 m+1}(-1)^{1}+\cdots+$ $\mathrm{C}_{4 m+3}^{4 m+2}(-1)^{4 m+2}$ is an integer, and since $\left\{a_{n}\right\}$ is an increasing sequence, we have $a_{k+1} \geqslant a_{k} \geqslant \cdots \geqslant a_{2}=27$, i.e., $4 t-1 \geqslant 27$. Thus, $t \geqslant 7, t-1 \geqslant 6$, i.e., $t-1 \in \mathbf{N}$.
Therefore, when $n=k+1$, equation (1) holds.
Thus, equation (1) holds, and we have
$$
a_{n}=3^{a_{n-1}}=3^{4 m+3}=(81)^{m} \cdot 27 \text {, }
$$

and its last digit is 7.","Four. (20 points) The sequence $\left\{a_{n}\right\}$ is defined as follows: $a_{1}=3, a_{n}=$ $3^{a_{n-1}}(n \geqslant 2)$. Find the last digit of $a_{n}(n \geqslant 2)$.",,"import Mathlib

/- Four. (20 points) The sequence $\left\{a_{n}\right\}$ is defined as follows: $a_{1}=3, a_{n}=$ $3^{a_{n-1}}(n \geqslant 2)$. Find the last digit of $a_{n}(n \geqslant 2)$. -/
theorem number_theory_301803 (a : ℕ → ℕ) (ha1 : a 1 = 3)
    (han : ∀ n ≥ 2, a n = 3 ^ a (n - 1)) :
    ∀ n ≥ 2, a n % 10 = 7 := by",,
93b852fb-d894-53ba-914b-c7990a5f034c,proof,no,,no,yes,"1. **Substitute \(a, b, c\) with \(x^2, y^2, z^2\):**
   Given \(a = x^2\), \(b = y^2\), and \(c = z^2\), we can rewrite the inequalities:
   \[
   a^2 < 16bc \implies (x^2)^2 < 16(y^2)(z^2) \implies x^4 < 16y^2z^2 \implies x^2 < 4yz \implies x < 2\sqrt{yz}
   \]
   Similarly, we have:
   \[
   y < 2\sqrt{zx} \quad \text{and} \quad z < 2\sqrt{xy}
   \]

2. **Interpret the inequalities geometrically:**
   The inequalities \(x < 2\sqrt{yz}\), \(y < 2\sqrt{zx}\), and \(z < 2\sqrt{xy}\) suggest that \(x, y, z\) can be the lengths of the sides of a triangle. This is because each side length is less than the sum of the other two sides, which is a necessary condition for the sides of a triangle.

3. **Use the triangle inequality:**
   Since \(x, y, z\) are the sides of a triangle, we can use the triangle inequality:
   \[
   x + y > z, \quad y + z > x, \quad \text{and} \quad z + x > y
   \]

4. **Apply Heron's formula:**
   The area \(A\) of a triangle with sides \(x, y, z\) can be given by Heron's formula:
   \[
   A = \sqrt{s(s-x)(s-y)(s-z)}
   \]
   where \(s = \frac{x + y + z}{2}\) is the semi-perimeter of the triangle.

5. **Express the area in terms of \(a, b, c\):**
   The area can also be expressed in terms of \(a, b, c\) as:
   \[
   A = \frac{\sqrt{2(ab + bc + ca) - (a^2 + b^2 + c^2)}}{4}
   \]
   Since the area \(A\) must be positive, we have:
   \[
   \sqrt{2(ab + bc + ca) - (a^2 + b^2 + c^2)} > 0
   \]
   Squaring both sides, we get:
   \[
   2(ab + bc + ca) - (a^2 + b^2 + c^2) > 0
   \]
   Rearranging the terms, we obtain:
   \[
   a^2 + b^2 + c^2 < 2(ab + bc + ca)
   \]

Thus, we have proven the required inequality.

\(\blacksquare\)

The final answer is \( \boxed{ a^2 + b^2 + c^2 < 2(ab + bc + ca) } \)","The positive numbers $a, b, c$ are such that $a^2<16bc, b^2<16ca$ and $c^2<16ab$. Prove that \[a^2+b^2+c^2<2(ab+bc+ca).\]",,"import Mathlib

/- The positive numbers $a, b, c$ are such that $a^2<16bc, b^2<16ca$ and $c^2<16ab$. Prove that \[a^2+b^2+c^2<2(ab+bc+ca).\] -/
theorem inequalities_54882 (a b c : ℝ) (ha : 0 < a) (hb : 0 < b) (hc : 0 < c)
    (h1 : a ^ 2 < 16 * b * c) (h2 : b ^ 2 < 16 * c * a) (h3 : c ^ 2 < 16 * a * b) :
    a ^ 2 + b ^ 2 + c ^ 2 < 2 * (a * b + b * c + c * a) := by",,
6113ba20-7f10-5033-b414-117648ca58e3,proof,no,,no,yes,"For $k \geq 0$ we denote $Q_{k}=\frac{X(X-1) \cdots(X-k+1)}{k!}$. Let $n=\operatorname{deg} P$.

$\Rightarrow$ : We will prove by induction on $n$ that $P$ can be written as

$$
\sum_{i=0}^{n} a_{i} Q_{i}
$$

with $a_{0}, \ldots, a_{n}$ being rationals.

- For $n=0$ it is obvious ( $P$ is a constant equal to $a_{0}$ ).
- Suppose the result holds up to $n-1$ for $n \geq 1$. We write $P(X)=Q_{n}(X) U(X)+$ $R(X)$ with $U \in \mathbb{Q}[X]$. By comparing degrees, $U$ must be constant. We then apply the induction hypothesis to $R(X): R=\sum_{i=0}^{\operatorname{deg} R} a_{i} Q_{i}$. We set $a_{n}=U$ and $a_{\operatorname{deg} R+1}, \ldots, a_{n-1}=0$.

We will prove by induction on $k$ that in this decomposition, the $a_{k}$ are integers.

- $a_{0}=P(0) \in \mathbb{Z}$.
- If $a_{0}, \ldots, a_{k-1} \in \mathbb{Z}$, then

$$
a_{k}=\binom{k}{k} a_{k}+\sum_{i=0}^{k-1} a_{i}\binom{k}{i}-\sum_{i=0}^{k-1} a_{i}\binom{k}{i}=P(k)-\sum_{i=0}^{k-1} a_{i}\binom{k}{i} \in \mathbb{Z}
$$

The result follows.

$\Leftarrow:$ We note that we can rewrite the condition as:

$$
P(m)=\sum_{k=0}^{n} a_{k}\binom{m}{k}
$$

and

$$
P(-m)=\sum_{k=0}^{n}(-1)^{k} a_{k}\binom{m+k-1}{k}
$$

for $m \in \mathbb{N}$.

Since the coefficients $a_{i}$ are integers and the binomial coefficients are integers, $P(\mathbb{Z}) \subset \mathbb{Z}$.","Let $P \in \mathbb{Q}[X]$. Show that $P(\mathbb{Z}) \subset \mathbb{Z}$ if and only if we can write

$$
P(X)=\sum_{k=0}^{n} a_{k} \frac{X(X-1) \cdots(X-k+1)}{k!} \text { with } a_{0}, \ldots, a_{n} \in \mathbb{Z}
$$",,"import Mathlib

/- Let $P \in \mathbb{Q}[X]$. Show that $P(\mathbb{Z}) \subset \mathbb{Z}$ if and only if we can write

$$
P(X)=\sum_{k=0}^{n} a_{k} \frac{X(X-1) \cdots(X-k+1)}{k!} \text { with } a_{0}, \ldots, a_{n} \in \mathbb{Z}
$$ -/
theorem algebra_161880 {P : Polynomial ℚ} :
    (∃ f : Polynomial ℤ, ∀ x : ℤ, P.eval (x : ℚ) = f.eval x) ↔
    ∃ n : ℕ, ∃ a : ℕ → ℤ, ∀ x : ℚ, P.eval x = ∑ k in Finset.range (n + 1),
      a k * (∏ i ∈ Finset.range k, (x - i : ℚ)) / Nat.factorial k := by",,
189b993e-9538-5134-8f91-3548e59a1571,MCQ,no,,no,yes,"3. B.

If $\boldsymbol{a}=\left(a_{1}, a_{2}\right) \in M \cap N$, then we have
$$
\begin{array}{l}
a_{1}=-1+x_{1}=1+2 x_{2}, \\
a_{2}=1+2 x_{1}=-2+3 x_{2} .
\end{array}
$$

Rearranging, we get
$$
\left\{\begin{array}{l}
x_{1}-2 x_{2}=2, \\
2 x_{1}-3 x_{2}=-3
\end{array}\right.
$$

Solving, we get $x_{1}=-12, x_{2}=-7$. Therefore, we have
$$
M \cap N=\{(-1-12,1-24)\}=\{(-13,-23)\} \text {. }
$$","3. Vector Set
$$
\begin{array}{l}
M=\{\boldsymbol{a} \mid \boldsymbol{a}=(-1,1)+x(1,2), x \in \mathbf{R}\}, \\
N=\{\boldsymbol{a} \mid \boldsymbol{a}=(1,-2)+x(2,3), x \in \mathbf{R}\} .
\end{array}
$$

Then $M \cap N=(\quad$.
(A) $\{(1,-2)\}$
(B) $\{(-13,-23)\}$
(C) $\{(-1,1)\}$
(D) $\{(-23,-13)\}$",,"import Mathlib

open Set Real

/- 3. Vector Set
$$
\begin{array}{l}
M=\{\boldsymbol{a} \mid \boldsymbol{a}=(-1,1)+x(1,2), x \in \mathbf{R}\}, \\
N=\{\boldsymbol{a} \mid \boldsymbol{a}=(1,-2)+x(2,3), x \in \mathbf{R}\} .
\end{array}
$$

Then $M \cap N=(\quad$.
(A) $\{(1,-2)\}$
(B) $\{(-13,-23)\}$
(C) $\{(-1,1)\}$
(D) $\{(-23,-13)\}$ -/
theorem algebra_301450 {a : ℝ × ℝ}
    (ha : ∃ x, a = (-1, 1) + x * (1, 2)) :
    a ∈ {a | ∃ x, a = (1, -2) + x * (2, 3)} ↔ a = (-13, -23) := by",,
d6af0083-0f56-5260-b8b6-671c5eacea21,math-word-problem,no,,no,yes,"## Solution

$y^{\prime}=\left(\frac{2}{3} \sqrt{\left(\operatorname{arctg} e^{x}\right)^{3}}\right)^{\prime}=\frac{2}{3} \cdot \frac{3}{2} \cdot \sqrt{\operatorname{arctg} e^{x}} \cdot \frac{1}{1+e^{2 x}} \cdot e^{x}=\frac{e^{x} \cdot \sqrt{\operatorname{arctg} e^{x}}}{1+e^{2 x}}$

## Problem Kuznetsov Differentiation 7-6","## Task Condition

Find the derivative.

$$
y=\frac{2}{3} \sqrt{\left(\operatorname{arctan} e^{x}\right)^{3}}
$$",,"import Mathlib

open Real

/- ## Task Condition

Find the derivative.

$$
y=\frac{2}{3} \sqrt{\left(\operatorname{arctan} e^{x}\right)^{3}}
$$ -/
theorem calculus_158413 (y : ℝ → ℝ) (hy : y = fun x => (2/3) * sqrt ((arctan (exp x))^3)) :
    deriv y = fun x => (exp x) * sqrt (arctan (exp x))/(1 + exp (2*x)) := by",,
c7c7e651-2335-5547-9eb4-e1e4bfef142e,math-word-problem,no,,no,yes,"2. $\frac{49}{6}$.

Obviously, in all the four-element subsets of set $A$, each element appears 4 times.
Then $\left(a_{1} a_{2} \cdots a_{5}\right)^{4}=1296 \Rightarrow a_{1} a_{2} \cdots a_{5}=6$.
Thus, the products of the four elements of set $A$ are 2, 3, $\frac{2}{3}$, 1, $\frac{3}{2}$, and their sum is $\frac{49}{6}$.","2. Let the set
$$
A=\left\{a_{1}, a_{2}, \cdots, a_{5}\right\}\left(a_{i} \in \mathbf{R}_{+}, i=1,2, \cdots, 5\right) .
$$

If the set of the products of the four elements in all four-element subsets of set $A$ is $B=\{2,3,4,6,9\}$, then the sum of the elements in set $A$ is $\qquad$",,"import Mathlib

/- 2. Let the set
$$
A=\left\{a_{1}, a_{2}, \cdots, a_{5}\right\}\left(a_{i} \in \mathbf{R}_{+}, i=1,2, \cdots, 5\right) .
$$

If the set of the products of the four elements in all four-element subsets of set $A$ is $B=\{2,3,4,6,9\}$, then the sum of the elements in set $A$ is $\qquad$ -/
theorem algebra_299531 (A : Finset ℝ) (hA : A.card = 5)
    (hA1 : ∀ x ∈ A, x > 0) (hB : {x | ∃ s : Finset ℝ, s ⊆ A ∧ s.card = 4 ∧ x = ∏ i ∈ s, i} = {2, 3, 4, 6, 9}) :
    ∑ x ∈ A, x = 49 / 6 := by",,
80e23a6f-068d-530a-9163-6676f74a3def,math-word-problem,no,,no,yes,"Solution.

The equality

$$
2 \log \frac{a-b}{2}=\log a+\log b-\log 2
$$

can be written in the form

$$
\begin{gathered}
\log \left(\frac{a-b}{2}\right)^{2}=\log \frac{a b}{2}, \quad \text{i.e.} \\
\left(\frac{a-b}{2}\right)^{2}=\frac{a b}{2}
\end{gathered}
$$

from which, by multiplication, we get

$$
a^{2}+b^{2}=4 a b
$$

Now, recall that we are dealing with a right triangle, so $a^{2}+b^{2}=c^{2}$, from which we obtain $c^{2}=4 a b$. Furthermore, since $\sin \alpha=\frac{a}{c}, \cos \alpha=\frac{b}{c}$, we have

$$
4 a b=4 \cdot c \sin \alpha \cdot c \cos \alpha=4 c^{2} \sin \alpha \cdot \cos \alpha
$$

so we can write the last equality in the form

$$
\begin{aligned}
& 4 \sin \alpha \cos \alpha=1 \\
& \text { i.e. } \quad \sin 2 \alpha=\frac{1}{2}
\end{aligned}
$$

This implies $2 \alpha=30^{\circ}$ or $2 \alpha=150^{\circ}$, i.e., $\alpha=15^{\circ}$ or $\alpha=75^{\circ}$.

Since $\frac{a-b}{2}>0$ (so that the logarithm at the beginning of the problem is defined), we conclude $a>b$, i.e., $\alpha>\beta=90^{\circ}-\alpha$, so the only solution that fits is

$$
\alpha=75^{\circ}, \beta=15^{\circ}
$$

(5 points)","2. For the lengths $a, b$ of the legs of a right triangle, it holds that

$$
\log \frac{a-b}{2}=\frac{1}{2}(\log a+\log b-\log 2)
$$

Determine the acute angles of this triangle.",,"import Mathlib

open Real

/- 2. For the lengths $a, b$ of the legs of a right triangle, it holds that

$$
\log \frac{a-b}{2}=\frac{1}{2}(\log a+\log b-\log 2)
$$

Determine the acute angles of this triangle. -/
theorem algebra_231923 (a b : ℝ) (ha : a > 0) (hb : b > 0)
    (h : log ((a - b) / 2) = (log a + log b - log 2) / 2) :
    a = b * tan (75 * π / 180) ∧ b ≠ 0 := by",,
3a4db633-36ab-5e2f-9923-50a499134947,proof,no,,no,yes,"1. **Claim:** \( abc \ge 27 \)

   **Proof:** 
   By the Arithmetic Mean-Harmonic Mean (AM-HM) inequality, we have:
   \[
   \sqrt[3]{abc} \ge \frac{3}{\frac{1}{a} + \frac{1}{b} + \frac{1}{c}}
   \]
   Given that \(\frac{1}{a} + \frac{1}{b} + \frac{1}{c} = 1\), we substitute this into the inequality:
   \[
   \sqrt[3]{abc} \ge \frac{3}{1} = 3
   \]
   Cubing both sides, we get:
   \[
   abc \ge 3^3 = 27
   \]
   This completes the proof of the first claim. \(\blacksquare\)

2. **Claim:** \( a^{a-1} + b^{b-1} + c^{c-1} \ge abc \)

   **Proof:**
   By the Weighted Arithmetic Mean-Geometric Mean (AM-GM) inequality, we have:
   \[
   \left(\frac{1}{a}\right)a^a + \left(\frac{1}{b}\right)b^b + \left(\frac{1}{c}\right)c^c \ge a^{a \cdot \frac{1}{a}} b^{b \cdot \frac{1}{b}} c^{c \cdot \frac{1}{c}}
   \]
   Simplifying the exponents, we get:
   \[
   a^{a \cdot \frac{1}{a}} b^{b \cdot \frac{1}{b}} c^{c \cdot \frac{1}{c}} = abc
   \]
   Therefore:
   \[
   a^{a-1} + b^{b-1} + c^{c-1} \ge abc
   \]
   Given that \( abc \ge 27 \) from the first claim, we have:
   \[
   a^{a-1} + b^{b-1} + c^{c-1} \ge 27
   \]

3. **Final Step:**
   Multiplying both sides of the inequality \( a^{a-1} + b^{b-1} + c^{c-1} \ge 27 \) by \( abc \), we get:
   \[
   a^a bc + b^b ca + c^c ab \ge 27abc
   \]
   Since \( abc \ge 27 \), we can write:
   \[
   27abc \ge 27(ab + bc + ca)
   \]
   Therefore:
   \[
   a^a bc + b^b ca + c^c ab \ge 27(ab + bc + ca)
   \]

This completes the proof. \(\blacksquare\)","Let $a$, $b$, $c$ be positive reals such that $\frac{1}{a}+\frac{1}{b}+\frac{1}{c}=1$. Show that $$a^abc+b^bca+c^cab\ge 27bc+27ca+27ab.$$


[i]Proposed by Milan Haiman[/i]",,"import Mathlib

/- Let $a$, $b$, $c$ be positive reals such that $\frac{1}{a}+\frac{1}{b}+\frac{1}{c}=1$. Show that $$a^abc+b^bca+c^cab\ge 27bc+27ca+27ab.$$


[i]Proposed by Milan Haiman[/i] -/
theorem inequalities_86055 (a b c : ℝ) (ha : 0 < a) (hb : 0 < b) (hc : 0 < c)
    (h : 1 / a + 1 / b + 1 / c = 1) :
    a ^ a * b ^ b * c + b ^ b * c ^ c * a + c ^ c * a ^ a * b ≥
    27 * b * c + 27 * c * a + 27 * a * b := by",,
a12b180f-345e-5474-81b3-7055d31a2180,math-word-problem,yes,yes,no,yes,"We note that $45=3^{2} \cdot 5$ and so $45 k=3^{2} \cdot 5 \cdot k$.

For $45 k$ to be a perfect square, each prime factor has to occur an even number of times. Therefore, $k$ must be divisible by 5 .

We try the smallest two-digit possibilities for $k$ that are divisible by 5 , namely $k=10,15,20, \ldots$

If $k=10$, then $45 k=450$, which is not a perfect square.

If $k=15$, then $45 k=675$, which is not a perfect square.

If $k=20$, then $45 k=900=30^{2}$, which is a perfect square.

Therefore, the smallest two-digit positive integer $k$ for which $45 k$ is a perfect square is $k=20$.",What is the smallest two-digit positive integer $k$ for which the product $45 k$ is a perfect square?,,"import Mathlib

/- What is the smallest two-digit positive integer $k$ for which the product $45 k$ is a perfect square? -/
theorem number_theory_288906 :
    IsLeast {k | 10 ≤ k ∧ ∃ m, m^2 = 45 * k} 20 := by","import Mathlib

theorem number_theory_288906 :
    IsLeast {k | 10 ≤ k ∧ ∃ m, m^2 = 45 * k} 20 := by
  constructor
  · -- First, let's show 20 is in the set
    constructor
    · norm_num
    · -- Show there exists m such that m^2 = 45 * 20
      use 30
      norm_num
  · -- Now, we need to show that 20 is the smallest such k
    intro k hk
    rcases hk with ⟨hk10, m, hm⟩
    by_contra h
    push_neg at h
    have h1 : k < 20 := h
    have h2 : m ≤ 30 := by nlinarith
    interval_cases k <;> 
      try { 
        interval_cases m <;> omega 
      }",
